kinsler_sample_label,sample,assay,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
1.6%-R1-T2,1.6%Gluc-R1-T2,1.6%Gluc-R1,1.6%Gluc,1,2,186883.0,-0.32740910883687885,312.6778129468067
1.6%-R1-T3,1.6%Gluc-R1-T3,1.6%Gluc-R1,1.6%Gluc,1,3,239999.0,0.9188930501904223,313.28025099616514
1.6%-R1-T4,1.6%Gluc-R1-T4,1.6%Gluc-R1,1.6%Gluc,1,4,677668.0,-0.5035865850868151,590.3283582089553
1.6%-R2-T1,1.6%Gluc-R2-T1,1.6%Gluc-R2,1.6%Gluc,2,1,101689.0,0.3137284284705909,212.70454545454547
1.6%-R2-T2,1.6%Gluc-R2-T2,1.6%Gluc-R2,1.6%Gluc,2,2,254212.0,-0.23439941509446427,466.36966730961655
1.6%-R2-T3,1.6%Gluc-R2-T3,1.6%Gluc-R2,1.6%Gluc,2,3,250512.0,-0.4738405681040663,364.9333355761149
1.6%-R2-T4,1.6%Gluc-R2-T4,1.6%Gluc-R2,1.6%Gluc,2,4,318062.0,0.39374909114584394,337.4318181818182
I1,1.8%Gluc-R1-T1,1.8%Gluc-R1,1.8%Gluc,1,1,3944246.0,-1.0495270546563298,5028.840659340659
I2,1.8%Gluc-R1-T2,1.8%Gluc-R1,1.8%Gluc,1,2,2010910.0,0.1199504482272332,2018.0982417866185
I3,1.8%Gluc-R1-T3,1.8%Gluc-R1,1.8%Gluc,1,3,336244.0,2.9035278536559126,255.2114220616673
I4,1.8%Gluc-R1-T4,1.8%Gluc-R1,1.8%Gluc,1,4,681736.0,-1.9761607100194232,362.22802197802196
J1,1.8%Gluc-R2-T1,1.8%Gluc-R2,1.8%Gluc,2,1,3090634.0,-0.8855006264001117,3737.9972222222223
J2,1.8%Gluc-R2-T2,1.8%Gluc-R2,1.8%Gluc,2,2,2188349.0,0.43577773485904636,2057.560761332048
J3,1.8%Gluc-R2-T3,1.8%Gluc-R2,1.8%Gluc,2,3,384946.0,1.791381432064433,278.543050682191
J4,1.8%Gluc-R2-T4,1.8%Gluc-R2,1.8%Gluc,2,4,620947.0,-1.3408285329486815,286.74444444444447
E1,Baffled-R1-T1,Baffled-R1,Baffled,1,1,6229520.0,-0.2628863816147491,7603.939726027397
E2,Baffled-R1-T2,Baffled-R1,Baffled,1,2,2166425.0,-0.0907846577316796,1822.8571088495337
E3,Baffled-R1-T3,Baffled-R1,Baffled,1,3,928842.0,0.9643854987160019,526.6035559828534
E4,Baffled-R1-T4,Baffled-R1,Baffled,1,4,7440597.0,-0.6162482152220837,2466.4438356164383
F1,Baffled-R2-T1,Baffled-R2,Baffled,2,1,5377148.0,-0.19127155210117466,6182.114130434783
F2,Baffled-R2-T2,Baffled-R2,Baffled,2,2,4003224.0,0.11681623448367348,3249.2660208573157
F3,Baffled-R2-T3,Baffled-R2,Baffled,2,3,9610137.0,0.34349708607564006,4996.514552950446
F4,Baffled-R2-T4,Baffled-R2,Baffled,2,4,9000954.0,-0.2662462257082246,2669.6684782608695
13-1-1,EC13-R1-T1,EC13-R1,EC13,1,1,1138999.0,-0.24636740088608808,1064.1460674157304
13-2-1,EC13-R1-T2,EC13-R1,EC13,1,2,2399880.0,0.3772497981581193,1325.8948109998926
13-3-1,EC13-R1-T3,EC13-R1,EC13,1,3,3950750.0,-0.01225257627263878,968.6535491870108
13-4-1,EC13-R1-T4,EC13-R1,EC13,1,4,1473942.0,-0.11672928817004771,163.77153558052436
13-1-2,EC13-R2-T1,EC13-R2,EC13,2,1,1310835.0,-0.10879253811599808,1201.236
13-2-2,EC13-R2-T2,EC13-R2,EC13,2,2,1712743.0,0.12758403734906662,949.6394529953986
13-3-2,EC13-R2-T3,EC13-R2,EC13,2,3,3287883.0,0.07639188619395869,769.5756796903355
13-4-2,EC13-R2-T4,EC13-R2,EC13,2,4,1655167.0,-0.09186411134735474,177.632
13-1-3,EC13-R3-T1,EC13-R3,EC13,3,1,1122575.0,0.5726661391015364,1224.9329896907216
13-2-3,EC13-R3-T2,EC13-R3,EC13,3,2,366483.0,-1.409621596551165,240.38442030531564
13-3-3,EC13-R3-T3,EC13-R3,EC13,3,3,2938992.0,1.0930510685381447,889.5800823918056
13-4-3,EC13-R3-T4,EC13-R3,EC13,3,4,1016186.0,-0.2582846243421867,159.8659793814433
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.38951845506675864,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,0.778811010288632,964.6214091439558
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,-0.39002754971783454,1297.037037037037
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,0.12685687080949978,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-0.2544855235332344,297.5814127248479
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.1267328746936021,1659.0981595092026
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,0.4265556464173527,910.2407407407408
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.854978251485032,1056.452597435796
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.42631124246303564,822.5555555555555
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,0.5921881151196595,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-1.1738671037244666,1496.754322275432
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.5904321072961028,617.385294117647
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.24688906033038183,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.4935728347965871,1364.0967996987588
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.24682345435120875,1126.3441176470587
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,1.012144139786129,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-2.0255595525826213,1633.2761841452277
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,1.0134169392607721,1741.8764705882354
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,-0.21750864513823417,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-3.4465584937922715,1633.5469311568556
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,7.5389162917068075,794.1981718844867
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,-3.8794208321215407,839.3715170278638
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-1.633410384479385,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,0.8909205235149354,538.9972099494925
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,3.1164323350392236,991.5656106393276
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-2.376447625461107,964.1565836298932
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,0.481424740458415,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.5552006719547476,1552.8175404428991
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.3364463380292231,1648.877299234285
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.4104308502644923,1031.9823529411765
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,-1.620971528046419,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,-1.6702121011123254,1875.2072185276284
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,8.187158383757787,1133.3863273172547
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,-4.902011141195017,927.7888563049853
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,-0.14687557082547814,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,0.399924737339924,2412.490579813377
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,-0.36784311514590134,1908.451308948981
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,0.10961322249869944,1344.169590643275
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,-0.8804265198583066,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,0.9659367958528654,2382.3369378871585
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,0.7046967740691338,1476.3994444087914
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,-0.7926110139626901,1324.7888563049853
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,1.2119745976548055,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-1.8680918421796961,813.3641051233711
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,0.09437955718583677,476.0996734121777
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,0.5571004068096818,570.6216216216217
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,1.3844506251653914,1121.4434782608696
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-1.0983724781445463,714.58556170991
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-1.9546017965442686,572.6196412321319
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,1.669241347308775,349.67826086956524
3-1-3,EC3-R3-T1,EC3-R3,EC3,3,1,1259539.0,0.8705151784712382,846.5454545454545
3-2-3,EC3-R3-T2,EC3-R3,EC3,3,2,2051769.0,-1.5743110133691411,787.0045496053446
3-3-3,EC3-R3-T3,EC3-R3,EC3,3,3,2431569.0,0.5310434702333072,562.5190064836612
3-4-3,EC3-R3-T4,EC3-R3,EC3,3,4,3161827.0,0.16914166926033525,509.32323232323233
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,0.4021933291476756,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.9498608771637109,6278.806206687876
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.6648092153890149,464.95526451168365
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,-0.13290887209280602,1482.0
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.5347114997694301,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,-0.22693522338666872,13097.493405227722
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-1.2696486728324434,7844.673783810905
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,0.9302517885425254,13341.81300813008
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,0.15087761192328802,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.04332680283325659,11403.307008191545
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.3666383167533693,1528.567168738584
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,0.264990872153039,8043.067750677506
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.13085503964308545,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,0.15557985606765987,2520.4140957666446
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,0.08747290909303793,2528.3660706057058
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,-0.10908559815701269,2062.5765027322404
