kinsler_sample_label,sample,assay,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
O1,0.2MKCl-R1-T1,0.2MKCl-R1,0.2MKCl,1,1,2930331.0,-0.4617955372180855,4282.053370786517
O2,0.2MKCl-R1-T2,0.2MKCl-R1,0.2MKCl,1,2,2883775.0,-0.21196274977043722,4149.280454704807
O3,0.2MKCl-R1-T3,0.2MKCl-R1,0.2MKCl,1,3,296368.0,1.8209624357443237,405.0078339848122
O4,0.2MKCl-R1-T4,0.2MKCl-R1,0.2MKCl,1,4,720167.0,-1.1423398139247454,956.3286516853933
AA1,0.5%Raf-R1-T1,0.5%Raf-R1,0.5%Raf,1,1,2502245.0,0.19666311991377033,2174.372549019608
AA2,0.5%Raf-R1-T2,0.5%Raf-R1,0.5%Raf,1,2,5251704.0,-1.2370584506115356,2985.599062043333
AA3,0.5%Raf-R1-T3,0.5%Raf-R1,0.5%Raf,1,3,424928.0,1.8859181658832453,160.85774940832374
AA4,0.5%Raf-R1-T4,0.5%Raf-R1,0.5%Raf,1,4,719696.0,-0.843719408343126,186.80392156862746
BB1,0.5%Raf-R2-T1,0.5%Raf-R2,0.5%Raf,2,1,2911053.0,-0.03190793128566099,2603.124645892351
BB2,0.5%Raf-R2-T2,0.5%Raf-R2,0.5%Raf,2,2,2661220.0,-0.6128488483341462,1444.3879322016
BB3,0.5%Raf-R2-T3,0.5%Raf-R2,0.5%Raf,2,3,406893.0,1.3291242361959534,147.29716902177864
BB4,0.5%Raf-R2-T4,0.5%Raf-R2,0.5%Raf,2,4,551741.0,-0.6797799983188867,142.96600566572238
P1,0.5MKCl-R1-T1,0.5MKCl-R1,0.5MKCl,1,1,4060418.0,-0.07668764418868863,7446.9807692307695
P2,0.5MKCl-R1-T2,0.5MKCl-R1,0.5MKCl,1,2,2173275.0,-1.0826359415594915,3880.2544321726587
P3,0.5MKCl-R1-T3,0.5MKCl-R1,0.5MKCl,1,3,355146.0,2.396806194894828,599.451858400341
P4,0.5MKCl-R1-T4,0.5MKCl-R1,0.5MKCl,1,4,565008.0,-1.2338924132090239,862.8461538461538
G1,1.4%Gluc-R1-T1,1.4%Gluc-R1,1.4%Gluc,1,1,4194734.0,-0.6786474375435407,4317.116022099448
G2,1.4%Gluc-R1-T2,1.4%Gluc-R1,1.4%Gluc,1,2,2309670.0,-0.8822473693082602,1547.9284359528015
G3,1.4%Gluc-R1-T3,1.4%Gluc-R1,1.4%Gluc,1,3,425111.0,3.79741582608605,189.49462079355897
G4,1.4%Gluc-R1-T4,1.4%Gluc-R1,1.4%Gluc,1,4,1463723.0,-2.2392467897967805,404.414364640884
