kinsler_sample_label,sample,assay,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
13-1-2,EC13-R2-T1,EC13-R2,EC13,2,1,1310835.0,-0.0035282994065792784,1201.236
13-2-2,EC13-R2-T2,EC13-R2,EC13,2,2,1712743.0,0.007981352116456179,872.536
13-3-2,EC13-R2-T3,EC13-R2,EC13,2,3,3287883.0,0.013952231987709337,710.592
13-4-2,EC13-R2-T4,EC13-R2,EC13,2,4,1655167.0,-0.013713523811713048,177.632
13-1-3,EC13-R3-T1,EC13-R3,EC13,3,1,1122575.0,-0.0010241378316967298,1224.9329896907216
13-2-3,EC13-R3-T2,EC13-R3,EC13,3,2,366483.0,-0.00266526850731611,224.44329896907217
13-3-3,EC13-R3-T3,EC13-R3,EC13,3,3,2938992.0,-0.005924027571635423,856.9484536082474
13-4-3,EC13-R3-T4,EC13-R3,EC13,3,4,1016186.0,0.006386041895925312,159.8659793814433
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.0016836191111406938,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,-0.004845013551426137,954.9470899470899
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,-0.0006473056851682911,1297.037037037037
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,-0.009883302232840117,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-0.0036406581456062633,291.2147239263804
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.0037302223413118304,1659.0981595092026
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,0.015861137033221555,910.2407407407408
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.0015809756196652255,1037.0185185185185
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.009623107194394933,822.5555555555555
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,-0.00304846106822945,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.003233754143846311,1455.179411764706
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.022530239747577393,617.385294117647
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.009703626039728887,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.01352860808044623,1331.4382352941177
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,-0.0006535386412473699,1126.3441176470587
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.01009627253895978,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,0.006300173274696206,1578.6382352941177
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,0.005823084578428449,1741.8764705882354
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,-0.015395477915859252,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-0.004519514296535258,1568.2229102167182
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,0.004763398319714247,786.5325077399381
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,0.004280165753327703,839.3715170278638
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-0.007290502395335427,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,-0.012970470934087534,520.3167259786477
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,0.004800432773482805,959.6761565836299
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-0.018887182926287965,964.1565836298932
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,-0.0003448448605001227,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.007242136937489357,1528.5735294117646
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,0.004442698746228049,1640.644117647059
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.01070806178729733,1031.9823529411765
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,0.002595172630128347,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,-0.015942432202424462,1870.032258064516
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,0.026132925456503697,1144.483870967742
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,-0.006877118080976813,927.7888563049853
