kinsler_sample_label,sample,assay,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
O1,0.2MKCl-R1-T1,0.2MKCl-R1,0.2MKCl,1,1,2930331.0,0.05701992116196154,4282.053370786517
O2,0.2MKCl-R1-T2,0.2MKCl-R1,0.2MKCl,1,2,2883775.0,-0.6796703949744919,4132.373197376845
O3,0.2MKCl-R1-T3,0.2MKCl-R1,0.2MKCl,1,3,296368.0,1.1749837077549596,398.56322083995775
O4,0.2MKCl-R1-T4,0.2MKCl-R1,0.2MKCl,1,4,720167.0,-0.5612484747281211,956.3286516853933
AA1,0.5%Raf-R1-T1,0.5%Raf-R1,0.5%Raf,1,1,2502245.0,1.3517590504619243,2174.372549019608
AA2,0.5%Raf-R1-T2,0.5%Raf-R1,0.5%Raf,1,2,5251704.0,-1.8684388618271899,2995.5036788214065
AA3,0.5%Raf-R1-T3,0.5%Raf-R1,0.5%Raf,1,3,424928.0,-0.2598099733900338,162.94265056610868
AA4,0.5%Raf-R1-T4,0.5%Raf-R1,0.5%Raf,1,4,719696.0,0.8137026597241162,186.80392156862746
BB1,0.5%Raf-R2-T1,0.5%Raf-R2,0.5%Raf,2,1,2911053.0,0.7509513144051051,2603.124645892351
BB2,0.5%Raf-R2-T2,0.5%Raf-R2,0.5%Raf,2,2,2661220.0,-0.9564287146486817,1446.4051350366549
BB3,0.5%Raf-R2-T3,0.5%Raf-R2,0.5%Raf,2,3,406893.0,-0.33651661922283166,148.41118214583537
BB4,0.5%Raf-R2-T4,0.5%Raf-R2,0.5%Raf,2,4,551741.0,0.558294201624812,142.96600566572238
P1,0.5MKCl-R1-T1,0.5MKCl-R1,0.5MKCl,1,1,4060418.0,0.8201043781687803,7446.9807692307695
P2,0.5MKCl-R1-T2,0.5MKCl-R1,0.5MKCl,1,2,2173275.0,-0.5539241627887376,3880.1024215671973
P3,0.5MKCl-R1-T3,0.5MKCl-R1,0.5MKCl,1,3,355146.0,-1.3809454943770643,589.9644835760122
P4,0.5MKCl-R1-T4,0.5MKCl-R1,0.5MKCl,1,4,565008.0,1.100618021433693,862.8461538461538
G1,1.4%Gluc-R1-T1,1.4%Gluc-R1,1.4%Gluc,1,1,4194734.0,-0.5432121295187216,4317.116022099448
G2,1.4%Gluc-R1-T2,1.4%Gluc-R1,1.4%Gluc,1,2,2309670.0,-1.2032403943381051,1545.0349406668504
G3,1.4%Gluc-R1-T3,1.4%Gluc-R1,1.4%Gluc,1,3,425111.0,3.9261209861641015,191.2427615998553
G4,1.4%Gluc-R1-T4,1.4%Gluc-R1,1.4%Gluc,1,4,1463723.0,-2.2234131960553762,404.414364640884
H1,1.4%Gluc-R2-T1,1.4%Gluc-R2,1.4%Gluc,2,1,3729423.0,-0.5489898314341681,3538.2944444444443
H2,1.4%Gluc-R2-T2,1.4%Gluc-R2,1.4%Gluc,2,2,2039149.0,-0.823461019132323,1309.687589152409
H3,1.4%Gluc-R2-T3,1.4%Gluc-R2,1.4%Gluc,2,3,275327.0,3.3130046885963274,117.25576705041279
H4,1.4%Gluc-R2-T4,1.4%Gluc-R2,1.4%Gluc,2,4,757201.0,-1.9294575837437289,185.1861111111111
GG1,1.5%Suc1%Raf-R1-T1,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,1,1570471.0,-1.6357844816885718,1660.0258064516129
GG2,1.5%Suc1%Raf-R1-T2,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,2,383177.0,1.847350948872623,355.74944406821726
GG3,1.5%Suc1%Raf-R1-T3,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,3,313867.0,1.2554581885095428,264.42991724554224
GG4,1.5%Suc1%Raf-R1-T4,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,4,480985.0,-1.4257967837622132,452.56774193548387
1.6%-R1-T1,1.6%Gluc-R1-T1,1.6%Gluc-R1,1.6%Gluc,1,1,144748.0,0.45112238911519736,299.5970149253731
1.6%-R1-T2,1.6%Gluc-R1-T2,1.6%Gluc-R1,1.6%Gluc,1,2,186883.0,-1.4772965369520774,313.0457842696088
1.6%-R1-T3,1.6%Gluc-R1-T3,1.6%Gluc-R1,1.6%Gluc,1,3,239999.0,1.5940807870553693,311.72053999156265
1.6%-R1-T4,1.6%Gluc-R1-T4,1.6%Gluc-R1,1.6%Gluc,1,4,677668.0,-0.57146369365019,590.3283582089553
1.6%-R2-T1,1.6%Gluc-R2-T1,1.6%Gluc-R2,1.6%Gluc,2,1,101689.0,1.6041325371776753,212.70454545454547
1.6%-R2-T2,1.6%Gluc-R2-T2,1.6%Gluc-R2,1.6%Gluc,2,2,254212.0,-0.27010270980067635,464.6505254118819
1.6%-R2-T3,1.6%Gluc-R2-T3,1.6%Gluc-R2,1.6%Gluc,2,3,250512.0,-4.2750852316582435,364.01104789590636
1.6%-R2-T4,1.6%Gluc-R2-T4,1.6%Gluc-R2,1.6%Gluc,2,4,318062.0,2.939716938104129,337.4318181818182
I1,1.8%Gluc-R1-T1,1.8%Gluc-R1,1.8%Gluc,1,1,3944246.0,-0.1832143186971147,5028.840659340659
I2,1.8%Gluc-R1-T2,1.8%Gluc-R1,1.8%Gluc,1,2,2010910.0,-0.474526639206228,2003.6935212860355
I3,1.8%Gluc-R1-T3,1.8%Gluc-R1,1.8%Gluc,1,3,336244.0,1.4874547189068614,253.48568996556784
I4,1.8%Gluc-R1-T4,1.8%Gluc-R1,1.8%Gluc,1,4,681736.0,-0.820668482365099,362.22802197802196
J1,1.8%Gluc-R2-T1,1.8%Gluc-R2,1.8%Gluc,2,1,3090634.0,0.17658961349398855,3737.9972222222223
J2,1.8%Gluc-R2-T2,1.8%Gluc-R2,1.8%Gluc,2,2,2188349.0,0.3463294018418362,2045.3544113131268
J3,1.8%Gluc-R2-T3,1.8%Gluc-R2,1.8%Gluc,2,3,384946.0,-1.1989407675100785,277.00381045904464
J4,1.8%Gluc-R2-T4,1.8%Gluc-R2,1.8%Gluc,2,4,620947.0,0.6784321386288,286.74444444444447
E1,Baffled-R1-T1,Baffled-R1,Baffled,1,1,6229520.0,-0.39082248780119355,7603.939726027397
E2,Baffled-R1-T2,Baffled-R1,Baffled,1,2,2166425.0,0.5436974831035333,1819.4770855959398
E3,Baffled-R1-T3,Baffled-R1,Baffled,1,3,928842.0,0.026500419761889858,521.8357545610683
E4,Baffled-R1-T4,Baffled-R1,Baffled,1,4,7440597.0,-0.21473504907594587,2466.4438356164383
F1,Baffled-R2-T1,Baffled-R2,Baffled,2,1,5377148.0,0.8912420515713634,6182.114130434783
F2,Baffled-R2-T2,Baffled-R2,Baffled,2,2,4003224.0,-1.2123216975347986,3243.774126527388
F3,Baffled-R2-T3,Baffled-R2,Baffled,2,3,9610137.0,-0.2489359679702402,4979.407542287875
F4,Baffled-R2-T4,Baffled-R2,Baffled,2,4,9000954.0,0.5704813248303529,2669.6684782608695
13-1-1,EC13-R1-T1,EC13-R1,EC13,1,1,1138999.0,-0.6067392356694075,1064.1460674157304
13-2-1,EC13-R1-T2,EC13-R1,EC13,1,2,2399880.0,0.543924846439883,1324.3136836988872
13-3-1,EC13-R1-T3,EC13-R1,EC13,1,3,3950750.0,0.7469100970461982,968.207822810455
13-4-1,EC13-R1-T4,EC13-R1,EC13,1,4,1473942.0,-0.6721155371975521,163.77153558052436
13-1-2,EC13-R2-T1,EC13-R2,EC13,2,1,1310835.0,-0.5452970272319092,1201.236
13-2-2,EC13-R2-T2,EC13-R2,EC13,2,2,1712743.0,0.02161980535682019,949.1996209640665
13-3-2,EC13-R2-T3,EC13-R2,EC13,2,3,3287883.0,1.6260593482629773,769.0777997275878
13-4-2,EC13-R2-T4,EC13-R2,EC13,2,4,1655167.0,-1.0934595351703698,177.632
13-1-3,EC13-R3-T1,EC13-R3,EC13,3,1,1122575.0,0.6693323742106553,1224.9329896907216
13-2-3,EC13-R3-T2,EC13-R3,EC13,3,2,366483.0,-1.850559689224503,240.80464288416712
13-3-3,EC13-R3-T3,EC13-R3,EC13,3,3,2938992.0,1.6589441978401498,890.1120831407833
13-4-3,EC13-R3-T4,EC13-R3,EC13,3,4,1016186.0,-0.48591264000791984,159.8659793814433
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,0.8767726570989701,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,-1.7688428020466567,963.5478498555967
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,0.8792800194324215,1297.037037037037
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,0.5761932324389766,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-1.1549858800284,297.86015079468643
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.5758028718172618,1659.0981595092026
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,0.40494944294592655,910.2407407407408
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.7288078123309989,1058.37477578095
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.3878426944757708,822.5555555555555
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,0.7099787707669861,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-1.3999441048954213,1495.826807550936
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.7055590532172823,617.385294117647
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.37207332577076235,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.744020434301449,1364.673960596417
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.37203777702284246,1126.3441176470587
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.5885693982110745,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-1.1798151895458955,1638.0662843406335
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,0.5929022861907706,1741.8764705882354
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,0.3877034045711828,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-3.406583660653011,1631.0449412337723
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,5.538314693806188,796.1320739936822
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,-2.5471765851881463,839.3715170278638
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-0.16183860429892571,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,-2.038121137320151,542.5105078048855
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,4.536994890481486,995.623159109959
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-2.349158167899368,964.1565836298932
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,-0.20947432382131734,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,0.44991338492145777,1554.1199930884395
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.27393569365832027,1649.8742862240367
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.038287800680056654,1031.9823529411765
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,-0.3056591093295449,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,-1.8451346313859822,1871.131305459662
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,4.570816276843803,1131.4569112613624
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,-2.4337437756031277,927.7888563049853
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,0.13089462753647663,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,-0.4388214131290428,2411.489688093011
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,0.4618956642231237,1909.298065393653
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,-0.18636365774616345,1344.169590643275
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,-0.42602167146721026,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,0.9838817533805997,2378.4326473624615
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,-0.7120333375281138,1475.1917005250873
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,0.1279733426352898,1324.7888563049853
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,2.0997056075784233,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-2.6147258737396535,822.6770563480695
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-1.0785471440108587,477.40871639743904
