chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-T8,hBFA1:21C-R1,hBFA1,21C,R1,1.0,1917150,-0.07291662038732774,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-T16,hBFA1:21C-R1,hBFA1,21C,R1,2.0,2168035,-0.18386536007073095,789.1985047099705
hBFA1-21C-R1-Time24,hBFA1:21C-R1-T24,hBFA1:21C-R1,hBFA1,21C,R1,3.0,2068099,0.3735188296455533,740.2237990908745
hBFA1-21C-R1-Time40,hBFA1:21C-R1-T40,hBFA1:21C-R1,hBFA1,21C,R1,5.0,2118452,-0.16387046075984793,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-T8,hBFA1:21C-R2,hBFA1,21C,R2,1.0,2111700,-0.08164232999535163,741.802192326856
hBFA1-21C-R2-Time16,hBFA1:21C-R2-T16,hBFA1:21C-R2,hBFA1,21C,R2,2.0,2150472,-0.11209153173044063,770.6180234629517
hBFA1-21C-R2-Time24,hBFA1:21C-R2-T24,hBFA1:21C-R2,hBFA1,21C,R2,3.0,2022493,0.24771684919363804,715.2016289142315
hBFA1-21C-R2-Time40,hBFA1:21C-R2-T40,hBFA1:21C-R2,hBFA1,21C,R2,5.0,2465801,-0.07627044118376589,670.1121076233184
hBFA1-37C-R1-Time8,hBFA1:37C-R1-T8,hBFA1:37C-R1,hBFA1,37C,R1,1.0,1816186,1.710220902245346,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-T16,hBFA1:37C-R1,hBFA1,37C,R1,2.0,1992657,-0.5216697162186428,736.3121100242536
hBFA1-37C-R1-Time24,hBFA1:37C-R1-T24,hBFA1:37C-R1,hBFA1,37C,R1,3.0,2071290,-2.5868178644918225,731.0620516499351
hBFA1-37C-R1-Time40,hBFA1:37C-R1-T40,hBFA1:37C-R1,hBFA1,37C,R1,5.0,2032937,1.4180534550938049,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-T8,hBFA1:37C-R2,hBFA1,37C,R2,1.0,2408886,-2.3110007202272693,840.592725409836
hBFA1-37C-R2-Time16,hBFA1:37C-R2-T16,hBFA1:37C-R2,hBFA1,37C,R2,2.0,2371746,-2.2866652569625563,865.0661291661085
hBFA1-37C-R2-Time24,hBFA1:37C-R2-T24,hBFA1:37C-R2,hBFA1,37C,R2,3.0,1886703,8.098124300733817,624.3978456283598
hBFA1-37C-R2-Time40,hBFA1:37C-R2-T40,hBFA1:37C-R2,hBFA1,37C,R2,5.0,2169673,-3.4597427510417695,611.0855532786885
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-T8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,1.0,1374578,4.0732147072115845,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-T16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,2.0,2073939,-4.204232372967595,720.5026158820001
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-T24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,3.0,1913013,-1.561760228622188,627.8941089565541
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-T40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,5.0,2727518,1.9999625331968705,747.0858768753234
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-T8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,1.0,2527232,-2.9781553826924334,902.8106295149639
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-T16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,2.0,2122894,4.88705559546787,758.3597413316566
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-T24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,3.0,2181970,-1.5156318862597915,732.5020028602244
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-T40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,5.0,2019366,-0.522427975901397,559.9231166150671
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-T8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,1.0,810857,-0.6398287341839716,638.2411347517731
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-T24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,3.0,450288,1.2789479493395302,390.8824861841277
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-T40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,5.0,501961,-0.6396181852348705,400.78014184397165
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-T8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,1.0,1648916,-0.08868649248185803,741.5078014184397
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-T16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,2.0,1563435,0.11418994331525303,618.8575883209287
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-T40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,5.0,2457444,-0.027592188095927044,291.3262411347518
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-T8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,1.0,1729100,0.3009338506534467,659.2631166797181
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-T16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,2.0,3351420,-1.9963103927596104,1096.0240836222945
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-T24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,3.0,2923374,2.397371688266374,667.2727051374918
hBFA1-GlyEtOH-R2-Time40,hBFA1:GlyEtOH-R2-T40,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,5.0,2283582,-0.7077973374138999,188.79091620986688
hBFA1-SC-R1-Time8,hBFA1:SC-R1-T8,hBFA1:SC-R1,hBFA1,SC,R1,1.0,1575308,-1.216221941672165,599.010455104551
hBFA1-SC-R1-Time16,hBFA1:SC-R1-T16,hBFA1:SC-R1,hBFA1,SC,R1,2.0,1552685,0.7457727781137446,610.0574687319311
hBFA1-SC-R1-Time24,hBFA1:SC-R1-T24,hBFA1:SC-R1,hBFA1,SC,R1,3.0,1584986,1.2766843236799523,604.7722385188489
hBFA1-SC-R1-Time40,hBFA1:SC-R1-T40,hBFA1:SC-R1,hBFA1,SC,R1,5.0,1558740,-0.8476733446103348,504.81242312423126
hBFA1-SC-R2-Time8,hBFA1:SC-R2-T8,hBFA1:SC-R2,hBFA1,SC,R2,1.0,1883034,0.12791037681630774,688.6540948275862
hBFA1-SC-R2-Time16,hBFA1:SC-R2-T16,hBFA1:SC-R2,hBFA1,SC,R2,2.0,1737092,0.8031023392874451,641.4199558041166
hBFA1-SC-R2-Time24,hBFA1:SC-R2-T24,hBFA1:SC-R2,hBFA1,SC,R2,3.0,1867711,-1.5321318436889535,679.3534939297705
hBFA1-SC-R2-Time40,hBFA1:SC-R2-T40,hBFA1:SC-R2,hBFA1,SC,R2,5.0,1759607,0.5415273136631241,547.5501077586207
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-T8,hBFA1:YPD-R1,hBFA1,YPD,R1,1.0,1328214,-0.04410972304035141,445.36561743341406
hBFA1-YPD-R1-Time16,hBFA1:YPD-R1-T16,hBFA1:YPD-R1,hBFA1,YPD,R1,2.0,1884894,-0.03446438201136709,623.5411063227992
hBFA1-YPD-R1-Time24,hBFA1:YPD-R1-T24,hBFA1:YPD-R1,hBFA1,YPD,R1,3.0,3388195,0.16553225988773973,1048.1445620469642
hBFA1-YPD-R1-Time40,hBFA1:YPD-R1-T40,hBFA1:YPD-R1,hBFA1,YPD,R1,5.0,1850120,-0.0761545401487,404.84261501210653
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-T8,hBFA1:YPD-R2,hBFA1,YPD,R2,1.0,1712142,0.20589470728102924,589.0238821138212
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-T16,hBFA1:YPD-R2,hBFA1,YPD,R2,2.0,1996011,-0.14746204563576487,670.7443065867994
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-T24,hBFA1:YPD-R2,hBFA1,YPD,R2,3.0,1847952,-0.24560509504921768,582.7001313883302
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-T40,hBFA1:YPD-R2,hBFA1,YPD,R2,5.0,2023457,0.16174422360209448,461.7357723577236
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-T8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,1.0,1952835,0.08721919894983977,693.1662310507057
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-T16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,2.0,2204561,0.32844208330067565,802.7305711326749
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-T24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,3.0,2539318,-0.7586949231570825,906.2350530916323
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-T40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,5.0,2296210,0.26516933939484705,651.3125980135912
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-T8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,1.0,1711136,-4.372539431291294,563.5342995169082
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-T16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,2.0,2404233,5.048906086250145,811.2954109671992
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-T24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,3.0,2823044,1.1801612965407693,938.8686358728177
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-T40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,5.0,3102324,-1.827924342327249,849.0212560386474
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-T8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,1.0,2499948,-0.6909035429090211,846.1200578592093
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-T16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,2.0,2244076,-0.018714855628806017,795.2493965903386
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-T24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,3.0,2563277,1.3318657160194005,906.9052804287679
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-T40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,5.0,2719186,-0.6871130424887552,912.480231436837
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-T8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,1.0,2757245,-0.08225006314102272,917.0566298342542
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-T16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,2.0,2680456,0.7841637142027881,923.570668247599
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-T24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,3.0,2585981,-0.9595017763186552,900.1222209472727
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-T40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,5.0,2769573,0.28563811553297447,897.3517495395948
