chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-T8,hBFA1:21C-R1,hBFA1,21C,R1,1.0,1917150,-0.01093068540348438,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-T16,hBFA1:21C-R1,hBFA1,21C,R1,2.0,2168035,0.24718721497207413,790.9193721845145
hBFA1-21C-R1-Time24,hBFA1:21C-R1-T24,hBFA1:21C-R1,hBFA1,21C,R1,3.0,2068099,-0.37164855865284857,731.4263643392076
hBFA1-21C-R1-Time40,hBFA1:21C-R1-T40,hBFA1:21C-R1,hBFA1,21C,R1,5.0,2118452,0.11280060788918245,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-T8,hBFA1:21C-R2,hBFA1,21C,R2,1.0,2111700,-0.1502303300735097,741.802192326856
hBFA1-21C-R2-Time16,hBFA1:21C-R2-T16,hBFA1:21C-R2,hBFA1,21C,R2,2.0,2150472,0.08367939926187079,771.3710006647104
hBFA1-21C-R2-Time24,hBFA1:21C-R2-T24,hBFA1:21C-R2,hBFA1,21C,R2,3.0,2022493,0.13237021587301706,708.0256629832727
hBFA1-21C-R2-Time40,hBFA1:21C-R2-T40,hBFA1:21C-R2,hBFA1,21C,R2,5.0,2465801,-0.1937443215702595,670.1121076233184
hBFA1-37C-R1-Time8,hBFA1:37C-R1-T8,hBFA1:37C-R1,hBFA1,37C,R1,1.0,1816186,-0.5840056841844328,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-T16,hBFA1:37C-R1,hBFA1,37C,R1,2.0,1992657,0.829274837761024,735.9564415594336
hBFA1-37C-R1-Time24,hBFA1:37C-R1-T24,hBFA1:37C-R1,hBFA1,37C,R1,3.0,2071290,-0.04943585252650418,745.3581717048412
hBFA1-37C-R1-Time40,hBFA1:37C-R1-T40,hBFA1:37C-R1,hBFA1,37C,R1,5.0,2032937,-0.18510455564385167,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-T8,hBFA1:37C-R2,hBFA1,37C,R2,1.0,2408886,-1.0795053999693611,840.592725409836
hBFA1-37C-R2-Time16,hBFA1:37C-R2-T16,hBFA1:37C-R2,hBFA1,37C,R2,2.0,2371746,-0.3972891853909623,863.6051056927893
hBFA1-37C-R2-Time24,hBFA1:37C-R2-T24,hBFA1:37C-R2,hBFA1,37C,R2,3.0,1886703,2.8615387312796394,660.3993188168557
hBFA1-37C-R2-Time40,hBFA1:37C-R2-T40,hBFA1:37C-R2,hBFA1,37C,R2,5.0,2169673,-1.344054508945638,611.0855532786885
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-T8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,1.0,1374578,0.45401925633939827,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-T16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,2.0,2073939,-0.1266367140074775,718.3198770908615
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-T24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,3.0,1913013,-0.5723072381613342,620.2454616620865
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-T40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,5.0,2727518,0.4055180831798595,747.0858768753234
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-T8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,1.0,2527232,-0.9390396088075302,902.8106295149639
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-T16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,2.0,2122894,2.086450076883186,730.1023662983823
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-T24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,3.0,2181970,-1.3210200790105966,730.2606668191479
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-T40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,5.0,2019366,0.10943173242651846,559.9231166150671
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-T8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,1.0,810857,-1.788330853858507,638.2411347517731
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-T24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,3.0,450288,3.6023250220468674,390.8055954312534
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-T40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,5.0,501961,-1.7933992323631573,400.78014184397165
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-T8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,1.0,1648916,-0.1455977543035491,741.5078014184397
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-T16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,2.0,1563435,0.1646164347522334,619.2989559337751
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-T40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,5.0,2457444,-0.045146150153471926,291.3262411347518
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-T8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,1.0,1729100,0.7654262201954167,659.2631166797181
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-T16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,2.0,3351420,-1.0071608918599433,1080.8040602110982
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-T24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,3.0,2923374,0.08970628768093615,678.8972970851501
