chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-T8,hBFA1:21C-R1,hBFA1,21C,R1,1.0,1917150,-0.06677526688035534,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-T16,hBFA1:21C-R1,hBFA1,21C,R1,2.0,2168035,-0.20463590464433992,788.7162094980496
hBFA1-21C-R1-Time24,hBFA1:21C-R1-T24,hBFA1:21C-R1,hBFA1,21C,R1,3.0,2068099,0.3946570901364121,740.6216127932995
hBFA1-21C-R1-Time40,hBFA1:21C-R1-T40,hBFA1:21C-R1,hBFA1,21C,R1,5.0,2118452,-0.1676570034234493,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-T8,hBFA1:21C-R2,hBFA1,21C,R2,1.0,2111700,-0.06330767551677598,741.802192326856
hBFA1-21C-R2-Time16,hBFA1:21C-R2-T16,hBFA1:21C-R2,hBFA1,21C,R2,2.0,2150472,-0.13104011487246212,769.9275242222081
hBFA1-21C-R2-Time24,hBFA1:21C-R2-T24,hBFA1:21C-R2,hBFA1,21C,R2,3.0,2022493,0.24687901407780966,715.2633061584041
hBFA1-21C-R2-Time40,hBFA1:21C-R2-T40,hBFA1:21C-R2,hBFA1,21C,R2,5.0,2465801,-0.09642141387233139,670.1121076233184
hBFA1-37C-R1-Time8,hBFA1:37C-R1-T8,hBFA1:37C-R1,hBFA1,37C,R1,1.0,1816186,1.6420981692916619,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-T16,hBFA1:37C-R1,hBFA1,37C,R1,2.0,1992657,-0.5396198549468822,736.2125453844905
hBFA1-37C-R1-Time24,hBFA1:37C-R1-T24,hBFA1:37C-R1,hBFA1,37C,R1,3.0,2071290,-2.4457299284829612,730.700031535292
hBFA1-37C-R1-Time40,hBFA1:37C-R1-T40,hBFA1:37C-R1,hBFA1,37C,R1,5.0,2032937,1.357717699261567,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-T8,hBFA1:37C-R2,hBFA1,37C,R2,1.0,2408886,-2.2534699121692507,840.592725409836
hBFA1-37C-R2-Time16,hBFA1:37C-R2-T16,hBFA1:37C-R2,hBFA1,37C,R2,2.0,2371746,-2.2670834261951702,865.1269710795677
hBFA1-37C-R2-Time24,hBFA1:37C-R2-T24,hBFA1:37C-R2,hBFA1,37C,R2,3.0,1886703,7.950038032797546,623.1575531455143
hBFA1-37C-R2-Time40,hBFA1:37C-R2-T40,hBFA1:37C-R2,hBFA1,37C,R2,5.0,2169673,-3.3919749918329947,611.0855532786885
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-T8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,1.0,1374578,4.0237298331941584,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-T16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,2.0,2073939,-4.172106587140293,720.9311114268696
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-T24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,3.0,1913013,-1.5255345020361069,628.8188192628508
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-T40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,5.0,2727518,1.8957335954180743,747.0858768753234
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-T8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,1.0,2527232,-2.757551095192379,902.8106295149639
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-T16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,2.0,2122894,4.531996629612447,758.2607104517512
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-T24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,3.0,2181970,-1.4097084832027236,732.4327526811833
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-T40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,5.0,2019366,-0.48183563833897686,559.9231166150671
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-T8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,1.0,810857,-0.3584802629069192,638.2411347517731
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-T24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,3.0,450288,0.7164168662598874,393.8508938462262
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-T40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,5.0,501961,-0.3583122948084876,400.78014184397165
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-T8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,1.0,1648916,-0.09296582500116533,741.5078014184397
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-T16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,2.0,1563435,0.12080614582104993,618.7964490531064
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-T40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,5.0,2457444,-0.029271623540503895,291.3262411347518
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-T8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,1.0,1729100,0.2821340527212264,659.2631166797181
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-T16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,2.0,3351420,-1.9039395565301767,1096.1090175608008
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-T24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,3.0,2923374,2.2927281118892076,667.0577245697204
hBFA1-GlyEtOH-R2-Time40,hBFA1:GlyEtOH-R2-T40,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,5.0,2283582,-0.6783388905083517,188.79091620986688
hBFA1-SC-R1-Time8,hBFA1:SC-R1-T8,hBFA1:SC-R1,hBFA1,SC,R1,1.0,1575308,-1.1818564333618427,599.010455104551
hBFA1-SC-R1-Time16,hBFA1:SC-R1-T16,hBFA1:SC-R1,hBFA1,SC,R1,2.0,1552685,0.7269416454257281,609.8198764674809
