chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-SC-R1-Time24,hBFA1:SC-R1-T24,hBFA1:SC-R1,hBFA1,SC,R1,3.0,1584986,1.5558334555014373,604.4648626512735
hBFA1-SC-R1-Time40,hBFA1:SC-R1-T40,hBFA1:SC-R1,hBFA1,SC,R1,5.0,1558740,1.8817440618197985,504.81242312423126
hBFA1-SC-R2-Time8,hBFA1:SC-R2-T8,hBFA1:SC-R2,hBFA1,SC,R2,1.0,1883034,0.14333989392663116,688.6540948275862
hBFA1-SC-R2-Time16,hBFA1:SC-R2-T16,hBFA1:SC-R2,hBFA1,SC,R2,2.0,1737092,0.7962469813892545,641.4586689700637
hBFA1-SC-R2-Time24,hBFA1:SC-R2-T24,hBFA1:SC-R2,hBFA1,SC,R2,3.0,1867711,-1.45405961818057,679.3398218543236
hBFA1-SC-R2-Time40,hBFA1:SC-R2-T40,hBFA1:SC-R2,hBFA1,SC,R2,5.0,1759607,0.5144727428646843,547.5501077586207
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-T8,hBFA1:YPD-R1,hBFA1,YPD,R1,1.0,1328214,-0.15770051849057207,445.36561743341406
hBFA1-YPD-R1-Time16,hBFA1:YPD-R1-T16,hBFA1:YPD-R1,hBFA1,YPD,R1,2.0,1884894,-0.08819972244703803,623.5016902799977
hBFA1-YPD-R1-Time24,hBFA1:YPD-R1-T24,hBFA1:YPD-R1,hBFA1,YPD,R1,3.0,3388195,0.18102599253332766,1048.3724347305256
hBFA1-YPD-R1-Time40,hBFA1:YPD-R1-T40,hBFA1:YPD-R1,hBFA1,YPD,R1,5.0,1850120,0.06487424840428244,404.84261501210653
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-T8,hBFA1:YPD-R2,hBFA1,YPD,R2,1.0,1712142,0.27611082765115885,589.0238821138212
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-T16,hBFA1:YPD-R2,hBFA1,YPD,R2,2.0,1996011,-0.0979092974656578,670.736694610371
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-T24,hBFA1:YPD-R2,hBFA1,YPD,R2,3.0,1847952,-0.22867341995607093,582.7560319408449
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-T40,hBFA1:YPD-R2,hBFA1,YPD,R2,5.0,2023457,0.05047188977056993,461.7357723577236
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-T8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,1.0,1952835,4.979984958533642,693.1662310507057
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-T16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,2.0,2204561,2.4030481886159434,802.8291118132133
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-T24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,3.0,2539318,-1.427315816276848,906.4240217816848
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-T40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,5.0,2296210,-5.955717330872738,651.3125980135912
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-T8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,1.0,1711136,-3.5298384532446256,563.5342995169082
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-T16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,2.0,2404233,5.120368622119638,811.3130095672047
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-T24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,3.0,2823044,1.0036069846229572,939.0982708024081
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-T40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,5.0,3102324,-2.594137153497969,849.0212560386474
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-T8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,1.0,2499948,-0.26274815039510846,846.1200578592093
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-T16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,2.0,2244076,0.16514027170653706,795.3129250199607
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-T24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,3.0,2563277,1.2442863572959002,907.0966726485738
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-T40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,5.0,2719186,-1.1466784786073285,912.480231436837
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-T8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,1.0,2757245,0.16378284468827,917.0566298342542
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-T16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,2.0,2680456,0.8589868675347876,923.853864472681
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-T24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,3.0,2585981,-0.9586394696859025,899.9707254820095
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-T40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,5.0,2769573,-0.06413024253715505,897.3517495395948
